hidden_layers,latent_dim,mean_mse,std_mse
[16],4,0.20433045909420713,0.004705435654505449
[64],4,0.12675908560813348,0.009991258417039682
"[64, 32]",4,0.14656735198771137,0.007486252548171629
"[128, 64]",4,0.09954204235672776,0.0037414758770960687
"[64, 32, 16]",4,0.2546268723803241,0.02464335427273879
"[128, 64, 32]",4,0.14429520846804877,0.016592509474808465
"[256, 128, 64]",4,0.08989000037297754,0.004739075332495284
